Invoice Part Number,Invoice Part Description,Category,Ordered Qty,Rate,Price,Status
E3270,ELECTRIC FUEL PUMP ,Fuel Pump,100,7.80,15.60,Active
E3313,ELECTRIC FUEL PUMP ,Fuel Pump,100,8.55,17.10,Active
E8012S,ELECTRIC FUEL PUMP ,Fuel Pump,400,5.05,10.10,Active
E8016S,ELECTRIC FUEL PUMP ,Fuel Pump,300,6.40,12.80,Active
E8023,ELECTRIC FUEL PUMP ,Fuel Pump,100,8.55,17.10,Active
E8213,ELECTRIC FUEL PUMP ,Fuel Pump,200,6.00,12.00,Active
E8235,ELECTRIC FUEL PUMP ,Fuel Pump,100,9.62,19.24,Active
P E8335,ELECTRIC FUEL PUMP ,Fuel Pump,50,5.32,10.64,Active
P502,ELECTRIC FUEL PUMP ,Fuel Pump,400,6.40,12.80,Active
P503,ELECTRIC FUEL PUMP ,Fuel Pump,400,6.40,12.80,Active
P74037,ELECTRIC FUEL PUMP ,Fuel Pump,100,7.85,15.70,Active
311111G500,PUMP ASSY-FUEL,Fuel Pump,100,49.10,98.20,Active
311121R000,PUMP-FUEL,Fuel Pump,100,12.70,25.40,Active
311102H000,B/GAS ELANTRA 07-08,Fuel Pump & Housing Assembly,100,81.47,162.94,Active
E3947M,FUEL PUMP MODULE,Fuel Pump & Housing Assembly,50,25.00,50.00,Active
E3952M,FUEL PUMP MODULE,Fuel Pump & Housing Assembly,25,32.20,64.40,Active
E2291M,FUEL PUMP MODULE ,Fuel Pump & Housing Assembly,25,39.95,79.90,Active
E3372M,FUEL PUMP MODULE ,Fuel Pump & Housing Assembly,25,21.45,42.90,Active
E3500M,FUEL PUMP MODULE ,Fuel Pump & Housing Assembly,25,32.20,64.40,Active
E3501M,FUEL PUMP MODULE ,Fuel Pump & Housing Assembly,25,27.00,54.00,Active
 E3506M,FUEL PUMP MODULE ,Fuel Pump & Housing Assembly,25,28.95,57.90,Active
 E3507M,FUEL PUMP MODULE ,Fuel Pump & Housing Assembly,25,29.95,59.90,Active
E3509M,FUEL PUMP MODULE ,Fuel Pump & Housing Assembly,50,32.20,64.40,Active
E3549M,FUEL PUMP MODULE ,Fuel Pump & Housing Assembly,25,32.20,64.40,Active
E3932M,FUEL PUMP MODULE ,Fuel Pump & Housing Assembly,50,32.20,64.40,Active
E3940M,FUEL PUMP MODULE ,Fuel Pump & Housing Assembly,30,33.00,66.00,Active
E3941M,FUEL PUMP MODULE ,Fuel Pump & Housing Assembly,50,42.47,84.94,Active
E3950M,FUEL PUMP MODULE ,Fuel Pump & Housing Assembly,50,41.88,83.76,Active
E3953M,FUEL PUMP MODULE ,Fuel Pump & Housing Assembly,25,32.20,64.40,Active
 E3954M,FUEL PUMP MODULE ,Fuel Pump & Housing Assembly,50,48.33,96.66,Active
E3971M,FUEL PUMP MODULE ,Fuel Pump & Housing Assembly,50,25.00,50.00,Active
E3992M,FUEL PUMP MODULE ,Fuel Pump & Housing Assembly,25,23.95,47.90,Active
E7094M,FUEL PUMP MODULE ,Fuel Pump & Housing Assembly,25,25.00,50.00,Active
 E7111M,FUEL PUMP MODULE ,Fuel Pump & Housing Assembly,25,32.20,64.40,Active
E7117M,FUEL PUMP MODULE ,Fuel Pump & Housing Assembly,50,39.95,79.90,Active
E7127MN,FUEL PUMP MODULE ,Fuel Pump & Housing Assembly,50,39.00,78.00,Active
31110-2E300,FUEL PUMP MODULE HYUNDAI,Fuel Pump & Housing Assembly,50,47.26,94.52,Active
LF66-13-35XG,FUEL PUMP MODULE MAZDA ,Fuel Pump & Housing Assembly,50,27.00,54.00,Active
77020-02180,FUEL PUMP MODULE TOYOTA,Fuel Pump & Housing Assembly,25,42.96,85.92,Active
77020-02290,FUEL PUMP MODULE TOYOTA ,Fuel Pump & Housing Assembly,50,49.41,98.82,Active
77020-08030,FUEL PUMP MODULE TOYOTA ,Fuel Pump & Housing Assembly,50,47.26,94.52,Active
77020-08040,FUEL PUMP MODULE TOYOTA ,Fuel Pump & Housing Assembly,50,47.26,94.52,Active
231242B000,DAMPER CIG KIA SOUL 10-1.6LT,Harmonic Balancer,100,18.24,36.48,Active
231243C100,DAMPER CIG.SANTA FE V6 07-12 S,Harmonic Balancer,100,20.59,41.18,Active
231243C200,DAMPER SEDONA 3.8L 06-10,Harmonic Balancer,100,20.59,41.18,Active
231242G600,DAMPER SPORTAGE 2.4L 11-,Harmonic Balancer,100,18.58,37.16,Active
231242G000,PULLEY-DAMPER,Harmonic Balancer,100,19.10,38.20,Active
231243C111,PULLEY-DAMPER,Harmonic Balancer,100,21.18,42.36,Active
254702C400,TUBO BY PASS GENESIS 10-15 TUR,Heater Hose,100,16.97,33.94,Active
254602G201,TUBO BY PASS TUCSON 2.4LT 10-1,Heater Hose,100,6.09,12.18,Active
254572B000,TUBO BY PASS VELOSTER/SOUL 12-,Heater Hose,100,9.19,18.38,Active
252863C200,IDLER PULLEY SANTA FE 10-SONAT,Idler Pulley,100,10.95,21.90,Active
931103K000,VALVE,Ignition Starter Switch,100,6.57,13.14,Active
284112B000,GASKET-INLET MANIFOLD,Intake Manifold Gasket,100,2.62,5.24,Active
283132G700,GASKET-INTAKE MANIFOLD,Intake Manifold Gasket,100,1.38,2.76,Active
284112B600,GASKET-INTAKE MANIFOLD,Intake Manifold Gasket,100,1.21,2.42,Active
284113C111,JT INT LH SEDONA 06-,Intake Manifold Gasket,100,4.36,8.72,Active
284113C121,JT INT RH SEDONA 06-,Intake Manifold Gasket,100,4.36,8.72,Active
292153C100,GASKET-SURGE TANK,Intake Plenum Gasket,100,1.19,2.38,Active
292153C150,GASKET-SURGE TANK,Intake Plenum Gasket,100,1.54,3.08,Active
292153C200,GASKET-SURGE TANK,Intake Plenum Gasket,100,1.31,2.62,Active
292153C301,GASKET-SURGE TANK,Intake Plenum Gasket,100,1.31,2.62,Active
292153CFA0,GASKET-SURGE TANK,Intake Plenum Gasket,100,1.81,3.62,Active
292153C701,JT PLENUM GENESIS 3.8L 10-12,Intake Plenum Gasket,100,1.54,3.08,Active
393203C000,FILTER ASSY-FUEL,Knock / Detonation Sensor,100,20.12,40.24,Active
393002B000,MAP SENSOR HYUNDAI 10-16 KIA 0,Manifold Pressure (MAP) Sensor,100,14.80,29.60,Active
281643C100,SENSOR ASSY-AIR FLOW,Mass Air Flow (MAF) Sensor,100,53.51,107.02,Active
585102D500,CYLINDER ASSY-BRAKE MASTER,Master Cylinder,40,43.73,87.46,Active
585102H000,CYLINDER ASSY-BRAKE MASTER,Master Cylinder,100,38.29,76.58,Active
585102H300,CYLINDER ASSY-BRAKE MASTER,Master Cylinder,100,38.29,76.58,Active
585102S201,CYLINDER ASSY-BRAKE MASTER,Master Cylinder,100,44.08,88.16,Active
585102V200,CYLINDER ASSY-BRAKE MASTER,Master Cylinder,100,50.13,100.26,Active
585103K200,CYLINDER ASSY-BRAKE MASTER,Master Cylinder,100,44.86,89.72,Active
585103K300,CYLINDER ASSY-BRAKE MASTER,Master Cylinder,100,53.59,107.18,Active
587751G000,CYLINDER ASSY-BRAKE MASTER,Master Cylinder,100,6.74,13.48,Active
585101R200,CYLINDER ASSY-WHEEL,Master Cylinder,50,38.03,76.06,Active
587752D000,VALVULA DE FRENOS ELANTRA 96-9,Master Cylinder,100,5.25,10.50,Active
218102V000,B/MOT RH VELOSTER 12-=262535,Motor Mount,100,24.01,48.02,Active
218101G000,BRACKET ASSY-ENGINE MTG,Motor Mount,100,26.48,52.96,Active
218102H000,BRACKET ASSY-ENGINE MTG,Motor Mount,20,24.15,48.30,Active
218102P000,BRACKET ASSY-ENGINE MTG,Motor Mount,40,33.46,66.92,Active
219101M050,BRACKET ASSY-ROLL STOPPER FR,Motor Mount,30,8.23,16.46,Active
219102B200,BRACKET ASSY-ROLL STOPPER FR,Motor Mount,30,16.68,33.36,Active
219102B500,BRACKET ASSY-ROLL STOPPER FR,Motor Mount,30,39.59,79.18,Active
219301G000,BRACKET ASSY-ROLL STOPPER RR,Motor Mount,40,18.76,37.52,Active
219301H050,BRACKET ASSY-ROLL STOPPER RR,Motor Mount,60,17.29,34.58,Active
219302H000,BRACKET ASSY-ROLL STOPPER RR,Motor Mount,80,12.79,25.58,Active
219302B500,"BRACKET ASSY-ROLL STOPPER,RR",Motor Mount,60,25.93,51.86,Active
219101G000,COVER ASSY-T:M UPRR UNDER,Motor Mount,60,17.72,35.44,Active
219303S050,S/M SONATA 06-4CYL REAR,Motor Mount,40,18.33,36.66,Active
219101M100,S/MOT FRONT KIA FORTE 10-STD,Motor Mount,30,8.03,16.06,Active
219102D000,S/MOT FRT ELANTRA 01-06/T,Motor Mount,30,8.08,16.16,Active
219102H000,S/MOT FRT ELANTRA 07-,Motor Mount,30,11.79,23.58,Active
219102C050,S/MOT FRT TIB V6 AUT.03-,Motor Mount,100,8.34,16.68,Active
218301R000,S/MOT LH RIO 2012-STD=262430,Motor Mount,80,23.40,46.80,Active
219302P000,S/MOT REAR SANTAFE 4CIL 2010-,Motor Mount,60,29.65,59.30,Active
219102H250,S/MOTOR FRONT ELANTRA 07-10,Motor Mount,25,11.79,23.58,Active
219502V000,S/MOTOR FRT LOW RIO 12-=262281,Motor Mount,75,19.75,39.50,Active
218301R100,S/MOTOR REAR/STD ACCENT/VELOST,Motor Mount,50,23.40,46.80,Active
218101R000,S/MOTOR RH ACCENT 2012-BRIO,Motor Mount,50,24.01,48.02,Active
218102T000,S/MOTOR RH SONATA 11-2.4L,Motor Mount,30,26.93,53.86,Active
218103Q750,S/MOTOR RH SONATA 2.0L 11-,Motor Mount,30,26.93,53.86,Active
218103L500,S/MOTOR RH SONATA 2.4L 06-,Motor Mount,30,31.04,62.08,Active
219301G160,SOP/TRANS REAR RIO/BRIO 06-11,Motor Mount,100,18.66,37.32,Active
26320-3CKB0,FILTER ASSY-AIR,Oil Filter,1500,5.38,10.76,Active
97133-c2000,FILTER ASSY-AIR,Oil Filter,1500,16.36,32.72,Active
97133-D3200,FILTER ASSY-AIR,Oil Filter,1500,9.64,19.28,Active
97133-f2000,FILTER ASSY-AIR,Oil Filter,1500,9.20,18.40,Active
97133-j5000,FILTER ASSY-AIR,Oil Filter,1500,14.14,28.28,Active
97133-J9000,FILTER ASSY-AIR,Oil Filter,1500,10.03,20.06,Active
263002Y500,FILTER ASSY-ENGINE OIL,Oil Filter,2500,2.61,5.22,Active
2630035503,FILTER ASSY-ENGINE OIL,Oil Filter,5000,2.61,5.22,Active
26300-35504,FILTER ASSY-ENGINE OIL,Oil Filter,1500,2.65,5.30,Active
2630035505,FILTER ASSY-ENGINE OIL,Oil Filter,2500,3.26,6.52,Active
26320-3C30A,SERVICE KIT-OIL FILTER,Oil Filter,1500,5.11,10.22,Active
263502J000,SERVICE KIT-OIL FILTER,Oil Filter,4000,5.69,11.38,Active
263502S000,SERVICE KIT-OIL FILTER,Oil Filter,2500,6.21,12.42,Active
263502M000,SERVICE KIT-OIL FILTER(2),Oil Filter,4000,5.60,11.20,Active
392203C100,OIL SWITCH SONATA V6 06-11 OTR,Oil Temperature Sender,100,3.25,6.50,Active
826502D000,HAN.FR/LH/OUT ELANTRA 01-,Outside Door Handle,100,8.15,16.30,Active
826602D000,HAN.FRT/RH/OUT.ELAN 01-06,Outside Door Handle,100,8.15,16.30,Active
826512H000,HAN.OUT LH ELANTRA 07-10,Outside Door Handle,100,4.24,8.48,Active
836502D000,HAN.OUT.RR/LH/ELAN 01-06,Outside Door Handle,100,8.15,16.30,Active
836602D000,HAN.RR/RH OUT ELANTRA 01-,Outside Door Handle,100,8.15,16.30,Active
8265022000CA,HANDLE LH/OUT ACCENT 95-,Outside Door Handle,100,6.25,12.50,Active
8266022000CA,HANDLE RH OUT ACCENT95-98,Outside Door Handle,100,6.25,12.50,Active
287512H000,JUNTA BAJANTE FRT ELANTRA 09-1,Pipe Flange Gasket / Seal,100,1.25,2.50,Active
267403C200,PCV SEDONA 06-12,Positive Crankcase Ventilation (PCV) Valve,100,2.26,4.52,Active
267402G000,VALVE-PCV,Positive Crankcase Ventilation (PCV) Valve,100,1.51,3.02,Active
577402K001,BUSH-TRAILING ARM,Rack and Pinion Bellow,100,2.96,5.92,Active
253801F251,BLOWER ASSY,Radiator Fan Assembly,100,121.88,243.76,Active
253801R050,BLOWER ASSY-RADIATOR,Radiator Fan Assembly,100,79.95,159.90,Active
253802M210,BLOWER ASSY-RADIATOR,Radiator Fan Assembly,100,65.53,131.06,Active
253802M250,BLOWER ASSY-RADIATOR,Radiator Fan Assembly,100,65.53,131.06,Active
253802S000,BLOWER ASSY-RADIATOR,Radiator Fan Assembly,100,79.35,158.70,Active
253802S500,BLOWER ASSY-RADIATOR,Radiator Fan Assembly,100,78.23,156.46,Active
253803X000,FAN/ASSY ELANTRA 11-FORTE 14-,Radiator Fan Assembly,100,90.93,181.86,Active
253861R140,MOTOR-RADIATOR COOLING FAN,Radiator Fan Assembly,100,47.71,95.42,Active
253862S500,MOTOR-RADIATOR COOLING FAN,Radiator Fan Assembly,100,44.95,89.90,Active
254312B100,RESERVOIR TANK,Radiator Inlet / Outlet Tank,100,2.36,4.72,Active
254312B200,RESERVOIR TANK,Radiator Inlet / Outlet Tank,100,2.42,4.84,Active
584113A300,ROT RR SANTA FE 01-06 TUC,Rotor,20,28.14,56.28,Active
437941G100,C/CAMBIOS STD DOBLE RIO/BRIO 0,Shift Cable,100,24.53,49.06,Active
343426,"""5601 SHOCK RR R/L SCION XA,XB"" 03-06",Shock / Strut,100,9.08,18.16,Active
332136,ACCENT 03-05 HYUNDAI ACCENT 03-05 LH,Shock / Strut,108,15.43,30.86,Active
332135,ACCENT 03-05 HYUNDAI ACCENT 03-05 RH,Shock / Strut,108,15.43,30.86,Active
335016,GSP SHCK F LH PATHFINDER 96-99,Shock / Strut,120,19.22,38.44,Active
339262,HONDA CRV 07-11 LH FRONT,Shock / Strut,102,18.83,37.66,Active
339261,HONDA CRV 07-11 RH FRONT,Shock / Strut,102,18.83,37.66,Active
344314,HYU.SANTA FE 01-06 REAR,Shock / Strut,100,10.51,21.02,Active
554385,KIA FORTE 10-13 REAR,Shock / Strut,250,11.10,22.20,Active
343353,KIA RIO 01-07/02/02 REAR,Shock / Strut,104,9.88,19.76,Active
339135,KYB STRUT LH FRONT SCION 08-14,Shock / Strut,108,15.71,31.42,Active
339134,KYB STRUT RH FRONT SCION 08-14,Shock / Strut,108,15.71,31.42,Active
334369,LANCER 04-06 (334420),Shock / Strut,108,18.02,36.04,Active
339221,LH FRT STRUT ODYSSEY 05-07,Shock / Strut,100,22.03,44.06,Active
339125,LH SHOCK ABSORBERS OUTL 08-11,Shock / Strut,108,17.06,34.12,Active
339197,NISSAN ROGUE 08-12 FRONT LH,Shock / Strut,100,19.59,39.18,Active
339196,NISSAN ROGUE 08-12 FRONT RH,Shock / Strut,100,19.59,39.18,Active
341659,NISSAN SENTRA 07-12 REAR,Shock / Strut,100,10.62,21.24,Active
341361,OUTLANDER 03-04 REAR,Shock / Strut,104,10.82,21.64,Active
335015,PATHFINDER 96-99 RH,Shock / Strut,120,19.55,39.10,Active
345056,PATHFINDER PATHFINDER 05-12 REAR,Shock / Strut,100,9.69,19.38,Active
340030,REAR HONDA ACCORD 08-12 LH,Shock / Strut,104,12.37,24.74,Active
340029,REAR HONDA ACCORD 08-12 RH,Shock / Strut,104,12.37,24.74,Active
339220,RH FRT STRUT 0DYSSEY 05-07,Shock / Strut,100,22.03,44.06,Active
340031,SHCOK R R/L ACCORD 15-08,Shock / Strut,100,11.98,23.96,Active
348007,SHOCK ABSORBER HYUNDAI ACCENT 07-11 REAR,Shock / Strut,100,9.58,19.16,Active
344439,SHOCK ABSORBER NISSAN MURANO 03-07 REAR,Shock / Strut,100,9.43,18.86,Active
333305,SHOCK F LH ACCENT 00-02,Shock / Strut,108,13.68,27.36,Active
333517,SHOCK F LH ACCENT 06-11,Shock / Strut,108,14.80,29.60,Active
333212,SHOCK F LH ACCENT 95-99,Shock / Strut,108,14.54,29.08,Active
333355,SHOCK F LH AERIO 02-03,Shock / Strut,120,15.31,30.62,Active
333432,SHOCK F LH AERIO 04-07,Shock / Strut,216,16.79,33.58,Active
334337,SHOCK F LH ALTIMA 02-06,Shock / Strut,100,16.22,32.44,Active
339147,SHOCK F LH ALTIMA 07-13,Shock / Strut,104,17.27,34.54,Active
334643,SHOCK F LH CALIBER 07-11,Shock / Strut,108,19.70,39.40,Active
334387,SHOCK F LH CAMRY 04-06,Shock / Strut,100,18.22,36.44,Active
334246,SHOCK F LH CAMRY 97-01,Shock / Strut,104,17.08,34.16,Active
334451,SHOCK F LH COROLLA 03-08,Shock / Strut,208,16.14,32.28,Active
339115,SHOCK F LH COROLLA 09-13,Shock / Strut,200,16.57,33.14,Active
234036,�SHOCK F LH COROLLA 88-92,Shock / Strut,108,16.74,33.48,Active
234058,SHOCK F LH COROLLA 93-02,Shock / Strut,650,14.06,28.12,Active
338004,SHOCK F LH ELANTRA 07-10,Shock / Strut,208,16.40,32.80,Active
333206,SHOCK F LH ELANTRA 96-06,Shock / Strut,108,16.22,32.44,Active
333313,SHOCK F LH ESTEEM 95-02,Shock / Strut,120,14.41,28.82,Active
334465,SHOCK F LH G VITARA 06-13,Shock / Strut,102,18.48,36.96,Active
334433,SHOCK F LH GALANT 04-11,Shock / Strut,100,19.70,39.40,Active
334196,SHOCK F LH GRAN VITARA 99-04,Shock / Strut,104,15.70,31.40,Active
334400,SHOCK F LH HIGLANDER 01-07,Shock / Strut,104,19.70,39.40,Active
334318,SHOCK F LH HONDA ODYSSEY 99-04,Shock / Strut,120,21.45,42.90,Active
339105,SHOCK F LH LANCER 08-11,Shock / Strut,216,15.62,31.24,Active
235704,SHOCK F LH MATRIX 03-08,Shock / Strut,108,15.69,31.38,Active
334701,SHOCK F LH MAZDA 3 04-13,Shock / Strut,400,16.23,32.46,Active
234038,SHOCK F LH MAZDA 323 90,Shock / Strut,100,18.83,37.66,Active
333319,SHOCK F LH MIRAGE 1.8 97-02,Shock / Strut,210,14.52,29.04,Active
234062,SHOCK F LH MIRAGE 93-95,Shock / Strut,120,14.70,29.40,Active
332113,SHOCK F LH MIRAGE 97-02,Shock / Strut,120,14.72,29.44,Active
333225,SHOCK F LH MIRAGE 97-02 ONL,Shock / Strut,108,14.80,29.60,Active
335031,SHOCK F LH PATHFINDER 99,Shock / Strut,100,22.67,45.34,Active
333351,SHOCK F LH PROTEGE 01-03,Shock / Strut,120,15.06,30.12,Active
333275,SHOCK F LH PROTEGE 99-00,Shock / Strut,104,15.62,31.24,Active
335041,SHOCK F LH RAV4 01-05,Shock / Strut,100,18.83,37.66,Active
339032,SHOCK F LH RAV4 06-09,Shock / Strut,104,18.10,36.20,Active
333513,SHOCK F LH RIO 03-05,Shock / Strut,104,15.48,30.96,Active
334501,SHOCK F LH SANTA FE 01-06,Shock / Strut,100,19.17,38.34,Active
339129,SHOCK F LH SCION TC 05-10,Shock / Strut,108,16.57,33.14,Active
333311,SHOCK F LH SENTRA 02-06,Shock / Strut,108,14.41,28.82,Active
333395,SHOCK F LH SENTRA 02-06,Shock / Strut,102,14.41,28.82,Active
333605,SHOCK F LH SENTRA 07-12,Shock / Strut,216,16.74,33.48,Active
341365,SHOCK F LH SORENTO 03-06,Shock / Strut,104,12.04,24.08,Active
333491,SHOCK F LH SPECTRA 04-09,Shock / Strut,102,15.62,31.24,Active
339364,SHOCK F LH SX4 07-13,Shock / Strut,204,17.65,35.30,Active
234054,SHOCK F LH TERCEL 91-94,Shock / Strut,100,16.94,33.88,Active
333210,SHOCK F LH TERCEL 95-99,Shock / Strut,216,14.28,28.56,Active
334503,SHOCK F LH TUCSON 05-10,Shock / Strut,108,18.83,37.66,Active
334978,SHOCK F LH TUCSON 10-15,Shock / Strut,102,15.62,31.24,Active
339233,SHOCK F LH VENZA 09-12,Shock / Strut,108,18.15,36.30,Active
333391,SHOCK F LH VERSA 07-12,Shock / Strut,108,14.50,29.00,Active
334473,SHOCK F LH YARIS 06-13,Shock / Strut,400,15.32,30.64,Active
339082,SHOCK F R LANCER GTS 08-11,Shock / Strut,240,16.56,33.12,Active
339083,SHOCK F R LANCER GTS 08-11,Shock / Strut,240,16.57,33.14,Active
341330,SHOCK F R/L ACCORD 03-07,Shock / Strut,112,11.09,22.18,Active
341257,SHOCK F R/L ACCORD 98-02,Shock / Strut,224,11.09,22.18,Active
341203,SHOCK F R/L CIVIC 96-00,Shock / Strut,104,11.09,22.18,Active
333258,SHOCK F R/L ECHO 00-05,Shock / Strut,216,15.08,30.16,Active
234043,SHOCK F R/L EXCEL 90-94,Shock / Strut,120,16.94,33.88,Active
341467,SHOCK F R/L FRONTIER 05-16,Shock / Strut,104,13.73,27.46,Active
331017,SHOCK F R/L JEEP LIBERTY 02-12,Shock / Strut,104,12.62,25.24,Active
334420,SHOCK F R/L LANCER 02-07,Shock / Strut,208,15.87,31.74,Active
4060A382,SHOCK F R/L MIRAGE 14,Shock / Strut,320,16.69,33.38,Active
334368,SHOCK F R/L OUTLANDER 03-06,Shock / Strut,200,18.35,36.70,Active
341468,SHOCK F R/L PATFNDER 05-17,Shock / Strut,104,13.73,27.46,Active
333385,�SHOCK F R/L SCION XB 04-06,Shock / Strut,108,17.64,35.28,Active
232019,SHOCK F R/L SUZUKI SA310,Shock / Strut,100,14.24,28.48,Active
333304,SHOCK F RH ACCENT 00-02,Shock / Strut,108,13.68,27.36,Active
333516,SHOCK F RH ACCENT 06-11,Shock / Strut,108,14.80,29.60,Active
333211,SHOCK F RH ACCENT 95-99,Shock / Strut,108,14.54,29.08,Active
333354,SHOCK F RH AERIO 02-03,Shock / Strut,120,15.31,30.62,Active
333431,SHOCK F RH AERIO 04-07,Shock / Strut,216,16.79,33.58,Active
334336,SHOCK F RH ALTIMA 02-06,Shock / Strut,100,16.22,32.44,Active
339146,SHOCK F RH ALTIMA 07-13,Shock / Strut,104,17.27,34.54,Active
334642,SHOCK F RH CALIBER 07-11,Shock / Strut,108,19.70,39.40,Active
334386,SHOCK F RH CAMRY 04-06,Shock / Strut,100,18.22,36.44,Active
334245,SHOCK F RH CAMRY 97-01,Shock / Strut,104,17.08,34.16,Active
334450,SHOCK F RH COROLLA 03-08,Shock / Strut,208,16.14,32.28,Active
339114,SHOCK F RH COROLLA 09-13,Shock / Strut,200,16.57,33.14,Active
234035,�SHOCK F RH COROLLA 88-92,Shock / Strut,108,16.74,33.48,Active
234057,SHOCK F RH COROLLA 93-02,Shock / Strut,650,14.06,28.12,Active
338003,SHOCK F RH ELANTRA 07-10,Shock / Strut,208,16.40,32.80,Active
333617,SHOCK F RH ELANTRA 11-12,Shock / Strut,100,15.97,31.94,Active
333618,SHOCK F RH ELANTRA 11-12,Shock / Strut,100,15.97,31.94,Active
333205,SHOCK F RH ELANTRA 96-06,Shock / Strut,108,16.22,32.44,Active
333312,SHOCK F RH ESTEEM 95-02,Shock / Strut,120,14.41,28.82,Active
334464,SHOCK F RH G VITARA 06-13,Shock / Strut,102,18.48,36.96,Active
334432,SHOCK F RH GALANT 04-11,Shock / Strut,100,19.70,39.40,Active
334195,SHOCK F RH GRAN VITARA 99-04,Shock / Strut,104,15.70,31.40,Active
334399,SHOCK F RH HIGLANDER 01-07,Shock / Strut,104,19.70,39.40,Active
334317,SHOCK F RH HONDA ODYSSEY 99-04,Shock / Strut,120,21.45,42.90,Active
339104,SHOCK F RH LANCER 08-11,Shock / Strut,216,15.62,31.24,Active
235703,SHOCK F RH MATRIX 03-08,Shock / Strut,108,15.69,31.38,Active
334700,SHOCK F RH MAZDA 3 04-13,Shock / Strut,400,16.23,32.46,Active
333318,SHOCK F RH MIRAGE 1.8 97-02,Shock / Strut,210,14.52,29.04,Active
234061,SHOCK F RH MIRAGE 93-95,Shock / Strut,120,14.70,29.40,Active
332112,SHOCK F RH MIRAGE 97-02,Shock / Strut,120,14.72,29.44,Active
333224,SHOCK F RH MIRAGE 97-02 ONL,Shock / Strut,108,14.80,29.60,Active
335030,SHOCK F RH PATFINDER 99-00,Shock / Strut,100,22.67,45.34,Active
333350,SHOCK F RH PROTEGE 01-03,Shock / Strut,120,15.06,30.12,Active
333274,SHOCK F RH PROTEGE 99-00,Shock / Strut,104,15.62,31.24,Active
335040,SHOCK F RH RAV4 01-05,Shock / Strut,100,18.83,37.66,Active
339031,SHOCK F RH RAV4 06-09,Shock / Strut,104,18.10,36.20,Active
333512,SHOCK F RH RIO 03-05,Shock / Strut,104,15.48,30.96,Active
334500,SHOCK F RH SANTA FE 01-06,Shock / Strut,100,19.17,38.34,Active
339128,SHOCK F RH SCION TC 05-10,Shock / Strut,108,16.57,33.14,Active
333310,SHOCK F RH SENTRA 02-06,Shock / Strut,108,14.41,28.82,Active
333394,SHOCK F RH SENTRA 02-06,Shock / Strut,102,14.41,28.82,Active
333604,SHOCK F RH SENTRA 07-12,Shock / Strut,216,16.74,33.48,Active
341364,SHOCK F RH SORENTO 03-06,Shock / Strut,104,12.04,24.08,Active
333490,SHOCK F RH SPECTRA 04-09,Shock / Strut,102,15.62,31.24,Active
232025,SHOCK F RH SWIFT 89-94,Shock / Strut,100,14.24,28.48,Active
339363,SHOCK F RH SX4 07-13,Shock / Strut,204,19.05,38.10,Active
234053,SHOCK F RH TERCEL 91-94,Shock / Strut,100,18.05,36.10,Active
333209,SHOCK F RH TERCEL 95-99,Shock / Strut,216,14.28,28.56,Active
334502,SHOCK F RH TUCSON 05-10,Shock / Strut,108,18.83,37.66,Active
334977,SHOCK F RH TUCSON 10-15,Shock / Strut,102,15.62,31.24,Active
339232,SHOCK F RH VENZA 09-12,Shock / Strut,108,18.15,36.30,Active
333390,SHOCK F RH VERSA 07-10,Shock / Strut,108,14.50,29.00,Active
334472,SHOCK F RH YARIS 06-13,Shock / Strut,400,15.32,30.64,Active
335033,SHOCK FL PATHFINDER 04-02,Shock / Strut,100,17.96,35.92,Active
335032,SHOCK FR PATHFINDER 04-02,Shock / Strut,100,17.96,35.92,Active
338107,SHOCK Front Left ACCENT 12-17,Shock / Strut,108,14.34,28.68,Active
338106,SHOCK Front RH ACCENT 12-17,Shock / Strut,108,14.34,28.68,Active
331043,SHOCK FT R/L T. BLAZER 02-09,Shock / Strut,100,13.78,27.56,Active
338026,SHOCK KIA FORTE 2013-10,Shock / Strut,120,16.07,32.14,Active
338027,SHOCK KIA FORTE 2013-10,Shock / Strut,120,14.87,29.74,Active
333382,SHOCK MITS.LANCER 02-05 FRONT,Shock / Strut,216,14.88,29.76,Active
333357,SHOCK R LH AERIO 02-07,Shock / Strut,216,15.73,31.46,Active
334134,SHOCK R LH CAMRY 92-01,Shock / Strut,104,17.61,35.22,Active
234060,SHOCK R LH COROLLA 93-02,Shock / Strut,520,14.84,29.68,Active
333208,SHOCK R LH ELANTRA 96-00,Shock / Strut,108,16.40,32.80,Active
334429,SHOCK R LH HIGLANDER 01-03,Shock / Strut,104,19.70,39.40,Active
234040,"SHOCK R LH MAZDA 323,PRO",Shock / Strut,100,16.94,33.88,Active
333277,SHOCK R LH PROTEGE 99-03,Shock / Strut,102,15.71,31.42,Active
341322,SHOCK R PRIUS 04-11,Shock / Strut,104,11.09,22.18,Active
344612,SHOCK R R/L COROLLA 03-08,Shock / Strut,208,11.09,22.18,Active
3410014,SHOCK R R/L COROLLA 14-16,Shock / Strut,400,10.17,20.34,Active
341492,SHOCK R R/L CR-V 07-11,Shock / Strut,104,11.04,22.08,Active
343295,SHOCK R R/L ECHO 00-05,Shock / Strut,200,9.45,18.90,Active
343435,SHOCK R R/L G VITARA 06-12,Shock / Strut,100,8.80,17.60,Active
343247,SHOCK R R/L G VITARA 99-04,Shock / Strut,100,8.05,16.10,Active
341342,SHOCK R R/L LANCER 02-05,Shock / Strut,204,11.25,22.50,Active
